Year,Tm,Lg,W,L,Finish,Playoffs,Attendance,Attend/G,Rank,Est. Payroll,PPF,BPF,Stadium,Revenue,Operating Income,Net Income
2007,Texas Rangers,AL West,75,87,4,,"2,353,862","29,060",8th of 14,"$68,643,675 ",101,101,Ameriquest Field,172,17.2,
2007,Toronto Blue Jays,AL East,83,79,3,,"2,360,644","29,144",7th of 14,"$81,942,800 ",99,100,Rogers Centre,160,-1.8,
2007,Cincinnati Reds,NL Central,72,90,5,,"2,058,593","25,415",13th of 16,"$68,524,980 ",104,104,Great American Ball Park,161,19.3,
2007,St Louis Cardinals,NL Central,78,84,3,,"3,552,180","43,854",3rd of 16,"$90,286,823 ",99,99,Busch Stadium III,194,21.5,
2007,San Francisco Giants,NL West,71,91,5,,"3,223,215","39,793",5th of 16,"$90,219,056 ",101,101,AT&T Park,197,19.9,
2007,Seattle Mariners,AL West,88,74,2,,"2,672,223","32,588",6th of 14,"$106,460,833 ",97,96,Safeco Field,194,10.1,
2007,Philadelphia Phillies,NL East,89,73,1,Lost LDS (3-0),"3,108,325","38,374",6th of 16,"$89,428,213 ",103,104,Citizens Bank Park,192,14.3,
2007,Pittsburgh Pirates,NL Central,68,94,6,,"1,749,142","21,594",15th of 16,"$38,537,833 ",98,97,PNC Park,139,17.6,
2007,Colorado Rockies,NL West,90,73,2,Lost WS (4-0),"2,376,250","28,979",11th of 16,"$54,041,000 ",108,107,Coors Field,169,26.2,
2007,Oakland Athletics,AL West,76,86,3,,"1,921,844","23,726",12th of 14,"$79,366,940 ",94,94,McAfee Coliseum,154,15.4,
